Standardized name	Isolate name	Isolation	Ecological origins	Geographical origins	Collection / Provider	Reference
CCV	S8BM-30-2D	Phloem sap of Caryota urens	Tree	Sri Lanka	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDA	S8BM-32-4D(a)	Phloem sap of Caryota urens	Tree	Sri Lanka	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDB	ATCC_66348-1D	Soil	Soil	Japan	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDC	N37-1A	Exudate of Quercus robur	Tree	Botanical Garden, Novosibirsk, Siberia, Russia	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDD	N38-4A	Exudate of Quercus robur	Tree	Botanical Garden, Novosibirsk, Siberia, Russia	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDE	N39-7A	Exudate of Quercus robur	Tree	Novosibirsk, Siberia, Russia	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDF	N22.00-5D	Fruit of Grataegus dachurica	Fruit	Botanical garden, Blagoveshchensk, Russia	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDG	N3.00-7A	Grape berries of wild Vitus amurensis	Wine	Botanical garden, Blagoveshchensk, Russia	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDH	N159.01-2B	Exudate of Quercus mongolica	Tree	Botanical garden, Blagoveshchensk, Russia	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDI	N163.01-5A	Exudate of Quercus mongolica	Tree	Botanical garden, Blagoveshchensk, Russia	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDK	CCY_21-4-93:6B	Leaves of Sequoia sp.	Tree	North Korea	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDL	N51-1A	Exudate of Quercus mongolica	Tree	Vladivostok, Russian Far East	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDM	UFRJ_50613-2D(a)	Cushvara river	Water	Rio de Janeiro, Brazil	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDN	UCD_61-190-6A	Drosophila sp. 	Insect	California, USA	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDP	N95-5-1A	Exudate of Quercus sp.	Tree	Augusta, MI 49012, USA	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDQ	N95-6-1C	Exudate of Quercus sp.	Tree	Augusta, MI 49012, USA	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDR	CECT10331:9-1	Flowers of Centaurea alba	Flower	Spain	CECT collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDS	CECT10351-1B	Tomato	Fruit	Spain	CECT collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDT	CECT10171-5B	Larvae of Dacus oleae	Insect	Spain	CECT collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CDV	DBVPG1616-1D	Soil	Soil	Spain	DBVPG collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CEA	DBVPG1617-5A	Soil	Soil	Spain	DBVPG collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CEB	DBVPG1619-4B	Soil	Soil	Spain	DBVPG collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CEC	DBVPG1620-1A	Soil	Soil	Spain	DBVPG collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CED	DBVPG1621-5A	Soil	Soil	Spain	DBVPG collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CEE	DBVPG1622-8B	Soil	Soil	Spain	DBVPG collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CEF	DBVPG1623-2A	Soil	Soil	Spain	DBVPG collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CEG	EM14S01-3B	Soil 	Soil	Taiwan	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	25
CEH	ES2M03-7A	Fruiting body of Russula sp.	Fruit	Taiwan	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CEI	GE14S01-7B	Soil	Soil	Taiwan	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	25
CEK	JCM_2985-4B	Fermented fish	Fermentation	Tailand	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CEL	JCM_3529-7B	Fermented shrimp	Fermentation	Tailand	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CEM	CCY_21-4-89:7-3	Fermenting acorn meal	Fermentation	North Korea	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CEN	ATCC_38618:2-2	Concentrated orange juice	Fruit	NA	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CEP	ATCC_52922-1C	Tapuy (rice wine)	Fermentation	Philippines	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CEQ	MUCL_30909-2C	Cassava	Fermentation	Burundi	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CER	N34:2-4(a)	Maize dough	Bakery	Ghana	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CES	N26-1-10:7-5(a)	Maize dough	Bakery	Ghana	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CET	N134:7-1(a)	Maize dough	Bakery	Ghana	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CEV	IFO_0289:4-3(b)	Moromi of Chinese wine kaoliangchiu	Distillery	China	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CFA	Dji2-2A(a)	Palm wine 	Palm wine	Djibouti	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CFB	ho_SB	Wine	Wine	Bordeaux 	BioLaffort ISVV EA Enology UniversitÃ© de Bordeaux, France (Marullo P.)	
CFC	4.5_WLP530	Carlsberg Beer, Abbey ale yeast (Westmalle brewery)	Beer	Westmalle, Belgium	Carlsberg	
CFD	1.3_Safale_US05	Carlsberg Beer, American Ale yeast	Beer	USA	Carlsberg	
CFE	4.9_WLP099	Carlsberg Beer, super high gravity	Beer	United Kingdom	Carlsberg	
CFF	6.2_WLP570	Carlsberg Beer	Beer	Belgium	Carlsberg	
CFG	1.6_Safale_S40	Carlsberg Beer	Beer	UK	Carlsberg	
CFH	Nottingham_ale_1.8_Lallemand	Carlsberg Beer	Beer	UK	Carlsberg	
CFI	2.6_Windsor_British	Carlsberg Beer	Beer	UK	Carlsberg	
CFM	5.5_WLP090	Carlsberg Beer, "San Diego Super Yeast"	Beer	San Diego, USA	Carlsberg	
CFN	3.3_Safale_S-33	Carlsberg Beer	Beer	NA	Carlsberg	
CFP	3.4_Safbrew_T-58	Carlsberg Beer	Beer	NA	Carlsberg	
CFQ	UCD_40-235	Muscate grapes	Wine	Walnut Creek, California	Phaff collection	
CFR	UCD_40-248	Muscat must to be fortified  (1939)	Wine	Tulare Winery, California	Phaff collection	
CFS	UCD_40-255	Red Tokay grapes  (1939)	Wine	Walnut Creek, California	Phaff collection	
CFT	UCD_40-346	Spoiled Adriatic orchard figs, (1939)	Fruit	Fresno area,  California	Phaff collection	
CFV	UCD_40-49	Citrus fermentation	Fruit	NA	Phaff collection	
CGB	UCD_05-780	Beetle from infested Prunus bokhariensis, walk plate on RBCA.  No mold on plate.  Prunus bokhariensis Type Botanky E-1-18	Insect	Winters, CA Wolfskill USDA Prunus germplasm collection, 	Phaff collection (?)	
CGC	UCD_06-645	Female olive fly, surface sterilized, smashed, plated on RBCA	Fruit	Davis, CA, UCD	Phaff collection	
CGD	UCD_09-448	Olives from Middle of season 1. on RBCA 11.25.09 Streaked onto PDA 11/30/09	Fruit	Davis, CA, UCD	Phaff collection	
CGE	UCD_11-601	Olive fermentation, 1-gallon, Bucket 5B brine, Sicilian style olives, inoculated with Saccharomyces cerevisiase from 2009 olives.	Fruit	Davis, CA, UCD Food Science, Pilot plant. 	Phaff collection	
CGG	TayTa	Unknown	Unknown	Long An, South Vietnam	INRA Gringnon, France (Nguyen H.V.)	
CGH	VNL3	Unknown	Unknown	Ha Noi, North Vietnam	INRA Gringnon, France (Nguyen H.V.)	
CGI	Me7	Unknown	Unknown	Cai Be, South Vietnam	INRA Gringnon, France (Nguyen H.V.)	
CGK	Lx2	Unknown	Unknown	Dong Thap, South Vietnam	INRA Gringnon, France (Nguyen H.V.)	
CGL	BMQ557	Unknown	Unknown	Hai Phong, North Vietnam	INRA Gringnon, France (Nguyen H.V.)	
CGN	SGB1	Rice fermentation starter culture	Fermentation	Saigon, South Vietnam	INRA Gringnon, France (Nguyen H.V.)	
CGP	SG4	Unknown	Unknown	Saigon, South Vietnam	INRA Gringnon, France (Nguyen H.V.)	
CGQ	RR1a	Unknown	Unknown	My Tho, South Vietnam	INRA Gringnon, France (Nguyen H.V.)	
CGR	VL5	Rice fermentation starter culture	Fermentation	Phan Thiet, South Vietnam	INRA Gringnon, France (Nguyen H.V.)	
CGS	Ca6	Fermenting grape must (sweet wine)	Wine	Lebanon	INRA Gringnon, France (Nguyen H.V.)	
CGT	Lib39	Fermenting grape must (white wine)	Wine	Lebanon	INRA Gringnon, France (Nguyen H.V.)	
CGV	Lib51	Fermenting grape must (sweet wine)	Wine	Lebanon	INRA Gringnon, France (Nguyen H.V.)	
CHA	Lib52	Fermenting grape must (sweet wine)	Wine	Lebanon	INRA Gringnon, France (Nguyen H.V.)	
CHB	Lib54	Fermenting grape must (white wine)	Wine	Lebanon	INRA Gringnon, France (Nguyen H.V.)	
CHC	Lib61	Fermenting grape must (red wine)	Wine	Lebanon	INRA Gringnon, France (Nguyen H.V.)	
CHD	Lib70	Fermenting grape must (white wine)	Wine	Lebanon	INRA Gringnon, France (Nguyen H.V.)	
CHE	Lib71	Fermenting grape must (rose wine)	Wine	Lebanon	INRA Gringnon, France (Nguyen H.V.)	
CHF	Lib73	Fermenting grape must (red wine)	Wine	Lebanon	INRA Gringnon, France (Nguyen H.V.)	
CHG	324-6C	Bakery	Bakery	Vietnam	INRA Moulon, France (Sicard D.)	
CHH	319-5C	Bakery	Bakery	France	INRA Moulon, France (Sicard D.)	
CHI	646-3B	Bakery	Bakery	USA	INRA Moulon, France (Sicard D.)	
CHK	Win-8B	Brewery	Beer	UK	INRA Moulon, France (Sicard D.)	
CHL	SBE-1C	Bakery	Bakery	Northern Europe	INRA Moulon, France (Sicard D.)	
CHM	SBD	Bakery	Bakery	Northern Europe	INRA Moulon, France (Sicard D.)	
CHN	B9b-1	Levain from organic flour (Renan)	Bakery	Gif-sur-Yvette	INRA Moulon, France (Sicard D.)	
CHP	B9c-1	Levain from organic flour (Renan)	Bakery	Gif-sur-Yvette	INRA Moulon, France (Sicard D.)	
CHQ	B10-1	Levain from organic flour	Bakery	Forcalquier	INRA Moulon, France (Sicard D.)	
CHR	SC 29 F. Dromer IP	Vagina	Human, clinical	France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CHS	SC 32 F. Dromer IP	Feces	Human, clinical	France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CHT	SC 33 F. Dromer IP	Feces	Human, clinical	France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CHV	SRC 120	Cider bioindustrial strain 	Cider	France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIA	SRC 147	Bioindustrial strains	Industrial	Bretagne, France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIB	SRC 213	Bioindustrial strains	Industrial	Bretagne, France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIC	Ponton 11	Mouth	Human, clinical	Spain	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CID	Ponton 12	Mouth	Human, clinical	Spain	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIE	Ponton 13	Mouth	Human, clinical	Spain	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIF	Ponton 14	Feces	Human, clinical	Spain	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIG	PB11	Feces	Human, clinical	Netherlands	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIH	PB12	Feces	Human, clinical	Netherlands	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CII	PB13	Sputum	Human, clinical	Netherlands	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIK	PB14	Sputum	Human, clinical	Netherlands	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIL	PB15	Feces	Human, clinical	Netherlands	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIM	malade Hc6553	Blood (therapy isolate)	Human, clinical	Paris, France, H6	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIN	malade Pac6436	Blood (therapy isolate)	Human, clinical	Paris, France, H6	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIP	malade 6442	Catheter (therapy isolate)	Human, clinical	Paris, France, H6	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIQ	malade 6452	Blood (therapy isolate)	Human, clinical	Paris, France, H6	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIR	malade 6441	Blood (therapy isolate)	Human, clinical	Paris, France, H6	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIS	malade Elbaz 6766	Therapy isolates (Blood)	Human, clinical	Paris, France, H6	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIT	malade 459 Labaume	Blood (therapy isolate)	Human, clinical	Paris, France, H1	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CIV	malade 1124/150017	Feces (therapy isolate)	Human, clinical	Paris, France, H2	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKA	malade 3285/11-2-4	Bronchoalveolar lavage (therapy isolate)	Human, clinical	Paris, France, H3	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKB	malade 98 1655/125391	Blood (therapy isolate)	Human, clinical	Paris, France, H3	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKC	malade 139287/11_2_1	Blood (therapy isolate)	Human, clinical	Paris, France, H2	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKD	malade 97 138633/11-2-5	Feces (therapy isolate)	Human, clinical	Paris, France, H2	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKE	malade 141076/11210	Feces (therapy isolate)	Human, clinical	Paris, France, H2	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKF	malade 150865/1122	Feces (therapy isolate)	Human, clinical	Paris, France, H2	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKG	UL G84F88I90	S. boulardiiÂ isolates lychee (reference strain Biocodex)	Fruit	Vietnam	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKH	ultra lev. 1127	S. boulardiiÂ isolates (from UltraLevure packet)	Industrial	Paris, France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKI	perentol	S. boulardiiÂ isolates (from Perenterol capsule)	Human, clinical	Brussels, Belgium	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKK	malade 98 3312	Feces, clinical	Human, clinical	Amiens, France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKL	malade 98 3161	Feces, therapy	Human, clinical	Amiens, France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKM	malade 98 2574	Feces, therapy	Human, clinical	Amiens, France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKN	malade 98 2601	Feces, clinical	Human, clinical	Amiens, France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKP	malade Broussais	Unknown	Human, clinical	Paris, France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKQ	malade M2402A Necker 	Feces (therapy isolate)	Human, clinical	France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKR	malade Darkman	Unknown	Human, clinical	France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKS	malade Berchid	Unknown	Human, clinical	France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKT	malade Fauot	Unknown	Human, clinical	France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CKV	malade Boisse	Unknown	Human, clinical	France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CLA	malade Moreau	Unknown	Human, clinical	France	Inserm UniversitÃ© P. M. Curie, Paris, France (Hennequin C.)	
CLB	sample 40	Tree leaves	Tree	Bordeaux, France	Schacherer Laboratory	
CLC	sample 50	Dead tree	Tree	Bordeaux, France	Schacherer Laboratory	
CLD	sample 33	Flower	Flower	Bordeaux, France	Schacherer Laboratory	
CLG	NCYC_2966	Feces	Human, clinical	Nottingham, UK	National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
CLH	NCYC_2743	Unknown	Wine	Spain	National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
CLI	K5	Sake	Sake	Japan	Washington University School of Medicine (Justin C Fay)	5
CLK	K9	Sake	Sake	Japan	Washington University School of Medicine (Justin C Fay)	5
CLL	K10	Sake	Sake	Japan	Washington University School of Medicine (Justin C Fay)	5
CLM	K13	Sake	Sake	Japan	Washington University School of Medicine (Justin C Fay)	5
CLN	K14	Sake	Sake	Japan	Washington University School of Medicine (Justin C Fay)	5
CLP	K15	Sake	Sake	Japan	Washington University School of Medicine (Justin C Fay)	5
CLQ	UC5	Sake	Sake	Japan	Washington University School of Medicine (Justin C Fay)	5
CLR	RIB1008	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CLS	RIB1010	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CLT	RIB1011	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CLV	RIB1012	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CMB	RIB1014	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CMC	RIB1015	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CMD	RIB1016	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CME	RIB1017	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CMF	RIB6001	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CMG	RIB6002	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CMH	RIB6003	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CMI	RIB6004	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CMK	RIB6005	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CML	RIB6006	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CMM	RIB6007	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CMN	RIB0007	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CMP	YPS615	Quercus sp.	Tree	Pennsylvania, USA	YPS collection / University of Pennsylvania, USA (Snigowski P.)	
CMQ	YPS617	Quercus sp.	Tree	Pennsylvania, USA	YPS collection / University of Pennsylvania, USA (Snigowski P.)	
CMS	YPS670	Quercus sp.	Tree	Pennsylvania, USA	YPS collection / University of Pennsylvania, USA (Snigowski P.)	
CMT	SM.9.4.BR2	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNB	SM.8.2.C13	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNC	SM8.3.M5	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNE	SM.8.7.L8	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNF	SM.8.7.L9	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNG	SM.8.7.BR1	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNH	SM.8.8.BL1	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNI	SM.8.8.CVR1	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNK	SA.1.5.	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNL	SA.9.2.BL3	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNM	SA.9.3.VR1	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNN	SA.9.4.VL4	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNP	SA.9.4.BR2	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNQ	SA.10.1.VL1	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNR	SA.10.1.VR4	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNS	RP11.4.1	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNT	RP11.4.11	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CNV	RP11.4.14	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
CPA	906	Must from various Agave sp. 	Nature	Mexico	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
CPB	995	Fermented beverage from raisins and sugar	Beer	Hungary	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
CPC	997	Apricot pulp	Fruit	Hungary	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
CPD	1175	Spoiled beer	Beer	NA	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
CPE	1216	Unknown	Unknown	El Sauzal, Tenerife, Spain	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
CPF	1235	Unknown	Unknown	Guimar, Tenerife, Spain	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
CPG	1560	Manzanilla-Alorena, olive (Noe), 2003	Nature	Aceituna, Spain	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
CPI	LCBG-3D6	Agave spp. fermentation during rustic mezcal production	Distillery	Tamaulipas, Mexico	Instituto PolitÃ©cnico Nacional - Centro de BiotecnologÃ­a GenÃ³mica (Claudia Patricia Larralde Corona)	19
CPK	LCBG-Mosca3	Agave spp. fermentation during rustic mezcal production	Distillery	Tamaulipas, Mexico	Instituto PolitÃ©cnico Nacional - Centro de BiotecnologÃ­a GenÃ³mica (Claudia Patricia Larralde Corona)	
CPL	LCBG-4Y3	Agave spp. fermentation during rustic mezcal production	Distillery	Tamaulipas, Mexico	Instituto PolitÃ©cnico Nacional - Centro de BiotecnologÃ­a GenÃ³mica (Claudia Patricia Larralde Corona)	
CPM	LCBG-3D2	Agave spp. fermentation during rustic mezcal production	Distillery	Tamaulipas, Mexico	Instituto PolitÃ©cnico Nacional - Centro de BiotecnologÃ­a GenÃ³mica (Claudia Patricia Larralde Corona)	19
CPN	LCBG-3Y3	Agave spp. fermentation during rustic mezcal production	Distillery	Tamaulipas, Mexico	Instituto PolitÃ©cnico Nacional - Centro de BiotecnologÃ­a GenÃ³mica (Claudia Patricia Larralde Corona)	19
CPQ	LCBG-3D4	Agave spp. fermentation during rustic mezcal production	Distillery	Tamaulipas, Mexico	Instituto PolitÃ©cnico Nacional - Centro de BiotecnologÃ­a GenÃ³mica (Claudia Patricia Larralde Corona)	
CPR	LCBG-3Y8	Agave spp. fermentation during rustic mezcal production	Distillery	Tamaulipas, Mexico	Instituto PolitÃ©cnico Nacional - Centro de BiotecnologÃ­a GenÃ³mica (Claudia Patricia Larralde Corona)	19
CPS	FTPW4	Palm wine	Palm wine	Burkina Faso	UniversitÃ© de Lyon (Michel Aigle)	22
CPT	FTPW3	Palm wine	Palm wine	Burkina Faso	UniversitÃ© de Lyon (Michel Aigle)	22
CQA	FTPW32	Palm wine	Palm wine	Burkina Faso	UniversitÃ© de Lyon (Michel Aigle)	22
CQB	FTPW35	Palm wine	Palm wine	Burkina Faso	UniversitÃ© de Lyon (Michel Aigle)	22
CQC	MTF2546	Cocoa bean fermentation	Fermentation	West Africa	The Royal Veterinary and Agricultural University (Lene Jespersen)	21
CQD	MTF2547	Cocoa bean fermentation	Fermentation	West Africa	The Royal Veterinary and Agricultural University (Lene Jespersen)	21
CQE	MTF2548	Cocoa bean fermentation	Fermentation	West Africa	The Royal Veterinary and Agricultural University (Lene Jespersen)	21
CQF	MTF2549	Cocoa bean fermentation	Fermentation	West Africa	The Royal Veterinary and Agricultural University (Lene Jespersen)	21
CQG	MTF2550	Cocoa bean fermentation	Fermentation	West Africa	The Royal Veterinary and Agricultural University (Lene Jespersen)	21
CQH	MTF2551	Cocoa bean fermentation	Fermentation	West Africa	The Royal Veterinary and Agricultural University (Lene Jespersen)	21
CQI	MTF2552	Cocoa bean fermentation	Fermentation	West Africa	The Royal Veterinary and Agricultural University (Lene Jespersen)	21
CQK	MTF2553	Cocoa bean fermentation	Fermentation	West Africa	The Royal Veterinary and Agricultural University (Lene Jespersen)	21
CQL	MTF2554	Cocoa bean fermentation	Fermentation	West Africa	The Royal Veterinary and Agricultural University (Lene Jespersen)	21
CQM	MTF2555	Cocoa bean fermentation	Fermentation	West Africa	The Royal Veterinary and Agricultural University (Lene Jespersen)	21
CQN	MTF2556	Cocoa bean fermentation	Fermentation	West Africa	The Royal Veterinary and Agricultural University (Lene Jespersen)	21
CQP	MTF2557	Cocoa bean fermentation	Fermentation	West Africa	The Royal Veterinary and Agricultural University (Lene Jespersen)	21
CQQ	RIB1006	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CQR	RIB1007	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
CQS	CEY647	Molossus molossus (bat)	Nature	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	
CQT	L-982	Wine	Wine	Argentina	Pontificia Universidad Catolica de Chile (Claudio Martinez)	
CQV	CD7-9Sv2	Wine	Wine	Italy	University of Basilicata (Angela Capece and Patrizia Romano)	
CRA	RB3-7Sc2	Wine	Wine	Italy	University of Basilicata (Angela Capece and Patrizia Romano)	
CRB	SC2-37	Wine	Wine	Italy	INRA Gringnon, France (Nguyen H.V.)	
